COMPOSTO,CATION,ANION,pKs,CARGA,RAIO_IONICO,E_IONIZACAO,COMPOSTO_ENCODED,CATION_ENCODED,ANION_ENCODED,COMPOSTO_TOKENS,CATION_TOKENS,ANION_TOKENS
CaCO3,Ca 2+,CO3 2- ,8.54,2,1.0,11.87,17,3,3,"['Ca', 'C', 'O', '3']","['Ca', '2']","['C', 'O', '3', '2']"
CaF2,Ca 2+,F 1-,8.28,2,1.0,11.87,19,3,6,"['Ca', 'F', '2']","['Ca', '2']","['F', '1']"
Ca3(PO4)2,Ca 2+,PO4 3-,15.0,2,1.0,11.87,16,3,10,"['Ca', '3', 'P', 'O', '4', '2']","['Ca', '2']","['P', 'O', '4', '3']"
CaSO4,Ca 2+,SO4 2-,4.31,2,1.0,11.87,22,3,13,"['Ca', 'S', 'O', '4']","['Ca', '2']","['S', 'O', '4', '2']"
CaCrO4,Ca 2+,CrO4 2-,3.15,2,1.0,11.87,18,3,5,"['Ca', 'Cr', 'O', '4']","['Ca', '2']","['Cr', 'O', '4', '2']"
MgCO3,Mg 2+,CO3 2-,5.17,2,0.57,15.03,48,10,2,"['Mg', 'C', 'O', '3']","['Mg', '2']","['C', 'O', '3', '2']"
MgF2,Mg 2+,F 1-,10.29,2,0.57,15.03,50,10,6,"['Mg', 'F', '2']","['Mg', '2']","['F', '1']"
Mg3(PO4)2,Mg 2+,PO4 3-,15.0,2,0.57,15.03,46,10,10,"['Mg', '3', 'P', 'O', '4', '2']","['Mg', '2']","['P', 'O', '4', '3']"
MgSO3,Mg 2+,SO3 2-,2.5,2,0.57,15.03,53,10,12,"['Mg', 'S', 'O', '3']","['Mg', '2']","['S', 'O', '3', '2']"
MgC2O4,Mg 2+,C2O4 2-,5.32,2,0.57,15.03,47,10,1,"['Mg', 'C', '2', 'O', '4']","['Mg', '2']","['C', '2', 'O', '4', '2']"
Ag2CO3,Ag 1+,CO3 2-,11.07,1,1.0,7.57,1,0,2,"['Ag', '2', 'C', 'O', '3']","['Ag', '1']","['C', 'O', '3', '2']"
AgCl,Ag 1+,Cl -,9.75,1,1.0,7.57,6,0,4,"['Ag', 'Cl']","['Ag', '1']",['Cl']
Ag3PO4,Ag 1+,PO4 3-,15.0,1,1.0,7.57,5,0,10,"['Ag', '3', 'P', 'O', '4']","['Ag', '1']","['P', 'O', '4', '3']"
Ag2CrO4,Ag 1+,CrO4 2-,11.95,1,1.0,7.57,2,0,5,"['Ag', '2', 'Cr', 'O', '4']","['Ag', '1']","['Cr', 'O', '4', '2']"
Ag2C2O4,Ag 1+,C2O4 2-,11.27,1,1.0,7.57,0,0,1,"['Ag', '2', 'C', '2', 'O', '4']","['Ag', '1']","['C', '2', 'O', '4', '2']"
